season,n_games,model_correct,model_accuracy,seed_correct,seed_accuracy,model_log_loss,model_advantage
2008,64,52,0.8125,51,0.7969,0.4822,1
2009,64,45,0.7031,48,0.75,0.533,-3
2010,64,41,0.6406,44,0.6875,0.5877,-3
2011,67,43,0.6418,47,0.7015,0.65,-4
2012,67,49,0.7313,50,0.7463,0.5482,-1
2013,67,50,0.7463,47,0.7015,0.5627,3
2014,67,43,0.6418,45,0.6716,0.5856,-2
2015,67,49,0.7313,55,0.8209,0.5103,-6
2016,67,50,0.7463,48,0.7164,0.5437,2
2017,67,45,0.6716,53,0.791,0.5248,-8
2018,67,46,0.6866,47,0.7015,0.5937,-1
2019,67,45,0.6716,47,0.7015,0.4892,-2
2021,66,43,0.6515,47,0.7121,0.5974,-4
2022,67,48,0.7164,46,0.6866,0.6033,2
2023,67,45,0.6716,48,0.7164,0.6122,-3
2024,67,48,0.7164,48,0.7164,0.5642,0
