team,seed,region,R64,R32,S16,E8,F4,Champ
North Carolina,11,South,0.9926,0.9706,0.5714,0.3036,0.1528,0.0534
Texas Tech,3,West,0.9864,0.8952,0.3934,0.3322,0.1908,0.1186
Iowa State,3,East,0.9844,0.3474,0.2844,0.1988,0.0842,0.0428
Kentucky,3,Midwest,0.9822,0.7124,0.4496,0.4054,0.2488,0.1096
St. John's,2,West,0.9772,0.318,0.1448,0.116,0.056,0.028
Ole Miss,6,East,0.9712,0.651,0.5892,0.4932,0.2832,0.2004
Dayton,1,South,0.9646,0.1292,0.0106,0.0012,0.0002,0.0
Illinois State,1,West,0.958,0.0882,0.013,0.0002,0.0,0.0
Utah,1,Midwest,0.9198,0.189,0.0634,0.0022,0.0002,0.0
UCLA,7,West,0.8978,0.6582,0.4456,0.3994,0.2776,0.205
Grand Canyon,13,West,0.8464,0.0684,0.0052,0.0002,0.0,0.0
Marquette,7,East,0.8402,0.7526,0.1194,0.0512,0.0112,0.0026
Bryant,15,South,0.8308,0.021,0.0,0.0,0.0,0.0
DePaul,1,East,0.8274,0.0198,0.0014,0.0,0.0,0.0
Michigan,5,South,0.82,0.797,0.628,0.3802,0.2132,0.0806
Baylor,9,South,0.8196,0.746,0.2636,0.093,0.0326,0.005
Kansas,7,South,0.8004,0.79,0.3854,0.1926,0.0952,0.0328
High Point,13,Midwest,0.7706,0.2296,0.0604,0.0032,0.0004,0.0
Colorado,3,South,0.7456,0.0234,0.0012,0.0,0.0,0.0
Georgetown,2,East,0.733,0.129,0.0028,0.0002,0.0,0.0
Clemson,5,East,0.7308,0.6256,0.3348,0.0908,0.0206,0.007
Memphis,5,Midwest,0.6974,0.5512,0.2844,0.039,0.0058,0.001
Creighton,9,West,0.6934,0.6466,0.4326,0.0798,0.0194,0.0056
Illinois,6,Midwest,0.6928,0.2294,0.1048,0.0878,0.0426,0.014
Colorado State,12,West,0.6672,0.631,0.3234,0.047,0.0086,0.0028
UConn,8,East,0.6672,0.6578,0.415,0.1246,0.0378,0.0146
Arkansas,10,Midwest,0.6666,0.6622,0.3138,0.2686,0.152,0.0624
Texas,11,West,0.6542,0.0768,0.008,0.0044,0.0012,0.0002
Yale,13,East,0.643,0.1372,0.0244,0.0014,0.0,0.0
Akron,13,South,0.6286,0.0306,0.0032,0.0002,0.0,0.0
Tulane,2,Midwest,0.6166,0.0082,0.0,0.0,0.0,0.0
Louisville,8,Midwest,0.5118,0.4164,0.2676,0.0452,0.0082,0.0006
Georgia,9,Midwest,0.4882,0.3934,0.2572,0.043,0.0074,0.0012
Omaha,15,Midwest,0.3834,0.004,0.0,0.0,0.0,0.0
Middle Tennessee,4,South,0.3714,0.0106,0.0002,0.0,0.0,0.0
Oklahoma State,4,East,0.357,0.047,0.0064,0.0002,0.0,0.0
UAB,6,West,0.3458,0.0256,0.0012,0.0002,0.0,0.0
Saint Mary's,7,Midwest,0.3334,0.3256,0.1168,0.0918,0.031,0.0074
Chattanooga,5,West,0.3328,0.298,0.0974,0.008,0.0008,0.0002
Oklahoma,9,East,0.3328,0.3214,0.1572,0.0282,0.0042,0.001
Drake,11,Midwest,0.3072,0.0574,0.015,0.0102,0.0022,0.0006
Cincinnati,8,West,0.3066,0.265,0.1282,0.0092,0.0016,0.0004
Liberty,12,Midwest,0.3026,0.1944,0.0642,0.0036,0.0008,0.0002
UC San Diego,12,East,0.2692,0.1902,0.0608,0.0108,0.0014,0.0002
Wofford,15,East,0.267,0.021,0.0,0.0,0.0,0.0
Montana,14,South,0.2544,0.0036,0.0002,0.0,0.0,0.0
Georgia Tech,4,Midwest,0.2294,0.0248,0.0028,0.0,0.0,0.0
Vanderbilt,10,South,0.1996,0.189,0.0418,0.0102,0.0018,0.0004
Butler,8,South,0.1804,0.1248,0.0166,0.0004,0.0002,0.0
McNeese,12,South,0.18,0.1618,0.0778,0.0186,0.0046,0.001
Alabama State,16,East,0.1726,0.001,0.0,0.0,0.0,0.0
Queens University,2,South,0.1692,0.0,0.0,0.0,0.0,0.0
Utah State,10,East,0.1598,0.0974,0.0038,0.0006,0.0,0.0
Manhattan,4,West,0.1536,0.0026,0.0002,0.0,0.0,0.0
New Mexico,10,West,0.1022,0.0236,0.007,0.0034,0.0014,0.0004
Mount St. Mary's,16,Midwest,0.0802,0.0012,0.0,0.0,0.0,0.0
St. Francis (PA),16,West,0.042,0.0002,0.0,0.0,0.0,0.0
American University,16,South,0.0354,0.0,0.0,0.0,0.0,0.0
San Diego State,11,East,0.0288,0.0016,0.0004,0.0,0.0,0.0
Robert Morris,15,West,0.0228,0.0002,0.0,0.0,0.0,0.0
UNC Wilmington,14,Midwest,0.0178,0.0008,0.0,0.0,0.0,0.0
Lipscomb,14,East,0.0156,0.0,0.0,0.0,0.0,0.0
Troy,14,West,0.0136,0.0024,0.0,0.0,0.0,0.0
Saint Louis,6,South,0.0074,0.0024,0.0,0.0,0.0,0.0
