team,seed,region,p_r32,p_s16,p_e8,p_f4,p_final,p_champ,expected_score
Michigan,1,Midwest,0.96802,0.83054,0.57988,0.4282,0.26166,0.1652,17.84718
Duke,1,East,0.97264,0.85826,0.61578,0.42058,0.27482,0.15,17.71404
Arizona,1,West,0.96948,0.83864,0.59068,0.35314,0.19136,0.09762,14.020199999999999
Houston,2,South,0.97132,0.79046,0.43234,0.2564,0.15202,0.09004,11.6464
Illinois,3,South,0.9729,0.84438,0.46876,0.27904,0.15406,0.08644,12.00006
Purdue,2,West,0.97262,0.81014,0.55618,0.31418,0.16322,0.07906,12.4725
Florida,1,South,0.97044,0.69356,0.45852,0.24014,0.12838,0.07276,10.49516
Connecticut,2,East,0.96962,0.74038,0.42908,0.20124,0.09504,0.0399,8.574060000000001
Michigan St.,3,East,0.89228,0.57602,0.315,0.14668,0.06288,0.02494,6.2819199999999995
Iowa St.,2,Midwest,0.89218,0.57964,0.33542,0.14276,0.0565,0.02338,6.18738
Texas Tech,5,Midwest,0.83448,0.57054,0.22986,0.12258,0.0498,0.02072,5.3354800000000004
Gonzaga,3,West,0.89342,0.5795,0.24642,0.10814,0.0478,0.01864,5.2645
Arkansas,4,West,0.8753,0.6246,0.24608,0.1103,0.04724,0.01804,5.32434
Tennessee,6,Midwest,0.71262,0.38216,0.21264,0.09128,0.03584,0.01566,4.1323
Vanderbilt,5,South,0.8353,0.4641,0.20332,0.07778,0.03642,0.01536,4.2732600000000005
Nebraska,4,South,0.89244,0.49008,0.21292,0.08056,0.03426,0.01452,4.38156
Kansas,4,East,0.8329,0.46474,0.18506,0.0771,0.03296,0.01178,4.02374
Virginia,3,Midwest,0.89282,0.49876,0.25038,0.0792,0.0307,0.01156,4.38658
Alabama,4,Midwest,0.79616,0.35302,0.12428,0.0667,0.02542,0.00998,3.259
Louisville,6,East,0.71492,0.3296,0.14354,0.05288,0.02132,0.00772,2.95948
St. John's,5,East,0.83284,0.47198,0.14582,0.0606,0.02238,0.00752,3.4436
Iowa,9,South,0.6388,0.2359,0.0929,0.03058,0.00918,0.00316,1.9748400000000002
Wisconsin,5,West,0.71822,0.29568,0.09016,0.03464,0.01028,0.00272,2.1988600000000003
Santa Clara,10,Midwest,0.50602,0.20682,0.082,0.0182,0.00512,0.00164,1.52766
Kentucky,7,Midwest,0.49398,0.20254,0.07712,0.01994,0.00464,0.00144,1.48738
BYU,6,West,0.5366,0.21934,0.07704,0.02438,0.00624,0.00132,1.6205599999999998
Georgia,8,Midwest,0.60604,0.11244,0.04078,0.01526,0.00394,0.00126,1.21948
UCLA,7,East,0.64048,0.19324,0.0734,0.01772,0.00506,0.00122,1.58232
Saint Mary's,7,South,0.49888,0.13342,0.04346,0.015,0.00428,0.00116,1.16516
N.C. State,11,West,0.31032,0.1248,0.04286,0.01406,0.00384,0.00082,0.9315200000000001
Utah St.,9,West,0.49332,0.082,0.03436,0.01166,0.00314,0.0008,0.96388
