season,log_loss,accuracy,auc_roc,n_games
2003,0.4816331470054458,0.75,0.849609375,64
2004,0.47823603485821903,0.765625,0.86181640625,64
2005,0.46455443930327933,0.75,0.88427734375,64
2006,0.4849763489622616,0.765625,0.857421875,64
2007,0.42567196679985747,0.8125,0.910400390625,64
2008,0.4258328602273824,0.8515625,0.91357421875,64
2009,0.47309112633399486,0.765625,0.8603515625,64
2010,0.5134197340222533,0.75,0.823974609375,64
2011,0.6015218925141015,0.7164179104477612,0.7596346625083538,67
2012,0.5248277738128658,0.746268656716418,0.8157718868344842,67
2013,0.5413363464948716,0.746268656716418,0.8028514145689464,67
2014,0.5603209849702434,0.6716417910447762,0.7761194029850745,67
2015,0.49062132835602024,0.7835820895522388,0.8569837380262864,67
2016,0.5007248887695732,0.7910447761194029,0.8436177322343505,67
2017,0.4779863273154793,0.746268656716418,0.8545333036310983,67
2018,0.5342289620314293,0.7388059701492538,0.807083983069726,67
2019,0.43189331302247125,0.7611940298507462,0.8901759857429271,67
2021,0.5373307543349629,0.7348484848484849,0.8057851239669421,66
2022,0.5832609432390354,0.7238805970149254,0.7660948986411227,67
2023,0.54533034897042,0.746268656716418,0.8019603475161506,67
2024,0.5298557596302574,0.7313432835820896,0.8208955223880599,67
