feature,mean_abs_shap
diff_adj_em,0.71604615
diff_adj_d,0.30890498
diff_ft_pct,0.16174309
diff_oreb_rate,0.15138736
diff_adj_o,0.14740844
diff_def_tov_rate,0.133648
diff_ftr,0.13306513
diff_eff_height,0.13282864
diff_def_three_pt_pct,0.11422901
diff_block_rate,0.100414395
diff_def_ft_pct,0.09540589
diff_def_two_pt_pct,0.08670487
diff_tov_rate,0.0762108
diff_barthag,0.07371117
diff_def_ftr,0.07042217
diff_SeedNum,0.067624725
diff_three_pt_pct,0.0659916
diff_dreb_rate,0.06295508
diff_efg,0.06109644
diff_adj_t,0.056571264
diff_def_efg,0.055049647
diff_block_rate_allowed,0.051291976
diff_def_three_fg_rate,0.050953403
diff_three_fg_rate,0.045221575
diff_two_pt_pct,0.043009542
diff_experience,0.039349113
