ESPNName,TeamID,ManiaTeamName,MatchMethod
Abilene Christian,1101,Abilene Chr,spellings_exact
Air Force,1102,Air Force,spellings_exact
Akron,1103,Akron,spellings_exact
Alabama,1104,Alabama,spellings_exact
Alabama A&M,1105,Alabama A&M,spellings_exact
Alabama St.,1106,Alabama St,spellings_exact
Albany,1107,SUNY Albany,spellings_exact
Alcorn St.,1108,Alcorn St,spellings_exact
American,1110,American Univ,spellings_exact
Appalachian St.,1111,Appalachian St,spellings_exact
Arizona,1112,Arizona,spellings_exact
Arizona St.,1113,Arizona St,spellings_exact
Arkansas,1116,Arkansas,spellings_exact
Arkansas Pine Bluff,1115,Ark Pine Bluff,manual_override
Arkansas St.,1117,Arkansas St,spellings_exact
Army,1119,Army,spellings_exact
Auburn,1120,Auburn,spellings_exact
Austin Peay,1122,Austin Peay,spellings_exact
BYU,1140,BYU,spellings_exact
Ball St.,1123,Ball St,spellings_exact
Baylor,1124,Baylor,spellings_exact
Bellarmine,1468,Bellarmine,spellings_exact
Belmont,1125,Belmont,spellings_exact
Bethune Cookman,1126,Bethune-Cookman,manual_override
Binghamton,1127,Binghamton,spellings_exact
Boise St.,1129,Boise St,spellings_exact
Boston College,1130,Boston College,spellings_exact
Boston University,1131,Boston Univ,spellings_exact
Bowling Green,1132,Bowling Green,spellings_exact
Bradley,1133,Bradley,spellings_exact
Brown,1135,Brown,spellings_exact
Bryant,1136,Bryant,spellings_exact
Bucknell,1137,Bucknell,spellings_exact
Buffalo,1138,Buffalo,spellings_exact
Butler,1139,Butler,spellings_exact
Cal Baptist,1465,Cal Baptist,spellings_exact
Cal Poly,1142,Cal Poly,spellings_exact
Cal St. Bakersfield,1167,CS Bakersfield,manual_override
Cal St. Fullerton,1168,CS Fullerton,spellings_exact
Cal St. Northridge,1169,CS Northridge,spellings_exact
California,1143,California,spellings_exact
Campbell,1144,Campbell,spellings_exact
Canisius,1145,Canisius,spellings_exact
Centenary,1147,Centenary,spellings_exact
Central Arkansas,1146,Cent Arkansas,spellings_exact
Central Connecticut,1148,Central Conn,spellings_exact
Central Michigan,1141,C Michigan,spellings_exact
Charleston,1158,Col Charleston,spellings_exact
Charleston Southern,1149,Charleston So,spellings_exact
Charlotte,1150,Charlotte,spellings_exact
Chattanooga,1151,Chattanooga,spellings_exact
Chicago St.,1152,Chicago St,spellings_exact
Cincinnati,1153,Cincinnati,spellings_exact
Clemson,1155,Clemson,spellings_exact
Cleveland St.,1156,Cleveland St,spellings_exact
Coastal Carolina,1157,Coastal Car,spellings_exact
Colgate,1159,Colgate,spellings_exact
Colorado,1160,Colorado,spellings_exact
Colorado St.,1161,Colorado St,spellings_exact
Columbia,1162,Columbia,spellings_exact
Connecticut,1163,Connecticut,spellings_exact
Coppin St.,1164,Coppin St,spellings_exact
Cornell,1165,Cornell,spellings_exact
Creighton,1166,Creighton,spellings_exact
Dartmouth,1171,Dartmouth,spellings_exact
Davidson,1172,Davidson,spellings_exact
Dayton,1173,Dayton,spellings_exact
DePaul,1177,DePaul,spellings_exact
Delaware,1174,Delaware,spellings_exact
Delaware St.,1175,Delaware St,spellings_exact
Denver,1176,Denver,spellings_exact
Detroit Mercy,1178,Detroit,spellings_exact
Drake,1179,Drake,spellings_exact
Drexel,1180,Drexel,spellings_exact
Duke,1181,Duke,spellings_exact
Duquesne,1182,Duquesne,spellings_exact
East Carolina,1187,East Carolina,spellings_exact
East Tennessee St.,1190,ETSU,spellings_exact
East Texas A&M,1477,East Texas A&M,spellings_exact
Eastern Illinois,1183,E Illinois,spellings_exact
Eastern Kentucky,1184,E Kentucky,spellings_exact
Eastern Michigan,1185,E Michigan,spellings_exact
Eastern Washington,1186,E Washington,spellings_exact
Elon,1189,Elon,spellings_exact
Evansville,1191,Evansville,spellings_exact
FIU,1198,Florida Intl,spellings_exact
Fairfield,1193,Fairfield,spellings_exact
Fairleigh Dickinson,1192,F Dickinson,spellings_exact
Florida,1196,Florida,spellings_exact
Florida A&M,1197,Florida A&M,spellings_exact
Florida Atlantic,1194,FL Atlantic,spellings_exact
Florida Gulf Coast,1195,FGCU,spellings_exact
Florida St.,1199,Florida St,spellings_exact
Fordham,1200,Fordham,spellings_exact
