season,log_loss,accuracy,auc_roc,n_games
2003,0.3707036875757287,0.859375,0.913818359375,64
2004,0.42534757238458376,0.828125,0.886474609375,64
2005,0.340986950052454,0.8671875,0.93310546875,64
2006,0.38070132313398886,0.8125,0.906982421875,64
2007,0.2742438925005949,0.890625,0.97021484375,64
2008,0.32528468385808307,0.875,0.937255859375,64
2009,0.3469735465794045,0.8671875,0.9345703125,64
2010,0.43942424224533744,0.8125,0.87939453125,64
2011,0.5363395311100123,0.7761194029850746,0.8306972599688127,67
2012,0.3882891478808324,0.8656716417910447,0.9084428603252395,67
2013,0.4091272131929894,0.7910447761194029,0.8973045221652929,67
2014,0.47556391144518945,0.753731343283582,0.8558699042102919,67
2015,0.3965171419460341,0.8656716417910447,0.9088883938516373,67
2016,0.4494751790230192,0.7910447761194029,0.8723546446870127,67
2017,0.3676173399109366,0.8507462686567164,0.9173535308531967,67
2018,0.4669334104409,0.7611940298507462,0.8670082423702383,67
2019,0.3511982315118571,0.8507462686567164,0.9247048340387614,67
2021,0.3713208160371345,0.8484848484848485,0.9166666666666667,66
2022,0.47187735804873115,0.7910447761194029,0.8629984406326576,67
2023,0.46712658548195707,0.7611940298507462,0.8603252394742704,67
2024,0.4047240004618917,0.8283582089552238,0.9017598574292716,67
